Supplier Deductions Key,,,,,,,,,,,
Updated January 2025,,,,,,,,,,,
,,,,,,,,,,,
Invoice # ,Category/Billing Type,Processing for Region(s) ,Customer Name,Deduction Description,,,,,,,
ERVELCTY(mmyy)0(Remit #),Advertising - Quarterly Ad Billings,UNFI East Region,,Velocity Report - Movement report detailing overall units sold by Customer.,,,,,,,
ERVOLDELS(mmyy)0(Remit#),Advertising - Monthly AD Billings,UNFI East Region,,Participation in Volume Deals program which are Case Stack Billings.,,,,,,,
ERWB(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,,Advertising Web Banner on UNFI website.,,,,,,,
ERWELLFOC(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,,Wellness Monthly Focus Program. UNFI created ad exclusively for suppliers of products in wellness categories: Health & Beauty and Supplements. ,,,,,,,
FBB(mmyy)(Remit#),Transportation Charges,UNFI East Region,,Freight Billbacks:  Billback for agreed upon Freight allowance not given off invoice.,,,,,,,
FBB(mmyy)(Remit#),Transportation Charges,UNFI West Region,,Freight Billbacks:  Billback for agreed upon Freight allowance not given off invoice.,,,,,,,
ERFOI(mmyy)0(Remit #),,UNFI East Region,,Freight Expense incorrectly charged to UNFI on invoice.,,,,,,,
WRFOI(mmyy)0(Remit #),,UNFI West Region,,Freight Expense incorrectly charged to UNFI on invoice.,,,,,,,
FRTSTL(mmyy)0(Remit #),,National,,Freight Settlement on uncollected freight expenses,,,,,,,
FLNRLM(mmddyy)0(Remit #),MCB (Reclaim),UNFI East Region,Delhaize - Food Lion," Program managed directly from customer  (Their version of spoils program - theft in store, supermarket shelf-worn, returns, damaged boxes - similar to our quality chargeback, but at their store level.) ",,,,,,,
FRT(Invoice#),Transportation Charges,UNFI East Region,,Detention/Notification charges:  Billback for any charges for detaining our drivers or changes made to schedule appointments,,,,,,,
"FSRFGE(mmyy)0(Remit #)
FSRFGE(mth,yy)0(Remit #)",Fairshare,UNFI East Region,Giant Eagle   ,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
"FSRAHOLD(mmyy)0(Remit #)
",Fairshare,UNFI East Region,"Stop & Shop
Giant Foods
Giant Carlisle
Giant Landover",Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
"FSRDLHZE(mmyy)0(Remit #)
",Fairshare,UNFI East Region,Delhaize (Food Lion/Hannaford),Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
"FSRFLN(mmyy)0(Remit #)
FSRFLN(mth,yy)0(Remit #)",Fairshare,UNFI East Region,Food Lion,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
"FSRHAN(mmyy)0(Remit #)
FSRHAN(mth,yy)0(Remit #)",Fairshare,UNFI East Region,Hannaford,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
"FSRHRT(mmyy)0(Remit #)
FSRHRT(mth,yy)0(Remit #)",Fairshare,UNFI East Region,Harris Teeter,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
"FSRKG(mmyy)0(Remit #)
KGFSR(mth,yy)0(Remit #)",Fairshare,UNFI East Region,Kroger,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
"FSRPBG(mmyy)0(Remit #)
FSRPBG(mth,yy)0(Remit #)",Fairshare,UNFI East Region,Publix,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
FSRSCHNK(mmyy)0(Remit #),Fairshare,UNFI West Region,Schnuck's,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
FSRSPR(mmyy)0(Remit #),Fairshare,UNFI West Region,Sprouts,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
FSRTFM(mmyy)0(Remit #),Fairshare,UNFI East Region,Fresh Market,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
FSRTFMGROC(mmyy)0(Remit #),Fairshare,UNFI East Region,Fresh Market,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
FSRTFMVMS(mmyy)0(Remit #),Fairshare,UNFI East Region,Fresh Market,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
FSRWEIS(mmyy)0(Remit#),Fairshare,UNFI East Region,Weis,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
"FSRWGM(mmyy)0(Remit #)
FSRWGM(mthyy)0(Remit #)",Fairshare,UNFI East Region,Wegman's,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
WEISJBP(mmyy)0(Remit#),Joint Business Plan,UNFI East Region,Weis,,,,,,,,
GELSONS(customer invoice #),3rd Party Billing,UNFI West Region,Gelsons Markets,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
GERCLM(mmyy)0(Remit#),MCB (Reclaim),UNFI East Region,Giant Eagle," Program managed directly from Giant Eagle (Their version of spoils program - theft in store, supermarket shelf-worn, returns, damaged boxes - similar to our quality chargeback, but at their store level. )",,,,,,,
GPSPLS(invoice#)QCM,Spoils Gap/Spoils Gap for Full Reclaim,UNFI East Region,02asm,Spoils Gap/Spoils Gap for Full Reclaim:  Gap between the spoils allowance given to UNFI and actual spoils incurred in our warehouses,,,,,,,
GRNAC(customer invoice #)(remit #),3rd Party Billing,UNFI West Region,Green Acres Ads,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
GROCDIGICPN(customer invoice #),3rd Party Billing,UNFI West Region,Natural Grocer Coupons,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
HANRLM(mmddyy)0(Remit#),MCB (Reclaim),UNFI East Region,Delhaize - Hannaford," Program managed directly from Hannaford (Their version of spoils program - theft in store, supermarket shelf-worn, returns, damaged boxes - similar to our quality chargeback, but at their store level.) ",,,,,,,
HARNIP(mmyy)(Remit)(Loc),3rd Party Billing,UNFI West Region,Harmons-New Item,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
HARM(customer invoice #),3rd Party Billing,UNFI West Region,Harmons-Ads & Scans,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
HML(customer invoice #),3rd Party Billing,UNFI West Region,Homeland,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
HSEER(YYYY)(Remit)(Loc),Home Store Execution,UNFI East Region,,UNFI Home Store Execution Program,,,,,,,
HSEWR(YYYY)(Remit)(Loc),Home Store Execution,UNFI West Region,,UNFI Home Store Execution Program,,,,,,,
HTCIRCAD(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,Harris Teeter Circular,Participation in the Harris Teeter Circular Advertising,,,,,,,
IESRLM(mmddyy)0(Remit#),MCB (Reclaim),UNFI East Region,Ingles," Program managed directly from Hannaford (Their version of spoils program - theft in store, supermarket shelf-worn, returns, damaged boxes - similar to our quality chargeback, but at their store level.) ",,,,,,,
IN(mmyy)(Remit #),3rd Party Billing,UNFI West Region,Island Naturals,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
ION(UNFI DC)(mthyy),3rd Party Billing,UNFI West Region,It is only Natural and Organics (Ion) Group,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
JIMBOS(customer invoice #),3rd Party Billing,UNFI West Region,Jimbo Naturals,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
KG(Kroger check #)(Remit #),3rd Party Billing,UNFI West Region,Krogers,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
KGDI(Kroger check#)(Remit#)(Location Code),PLC,UNFI West Region,Kroger,Quality MCBs resulting from customer credits on Discontinued Items,,,,,,,
"LAM(customer invoice #)
LAM(customer invoice #)(Supplier Location Code)(Remit #)",3rd Party Billing,UNFI West Region,Lazy Acres,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
LASS(customer invoice #),3rd Party Billing,UNFI West Region,Lassens,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
LUNARDIS(customer invoice #),3rd Party Billing,UNFI West Region,Lunardis,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
LCBC(PO#),UPC Barcode,National,,UPC Barcode fee: non-compliance with Carton/Pallet guidelines for scan-able bar codes,,,,,,,
LCP(PO#),PO Labeling Compliance,National,,Pallet Placard/PO labeling fee: non-compliance with pallet placard requirements,,,,,,,
MAR(mmyy)(Remit#),3rd Party Billing,UNFI West Region,Marlenes,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
MCB(yyyymmdd),MCB (Customer Specific),UNFI West Region,,"A-Customer Specific Ad Promotions:  Short Term Promotions, usually 30 - 45 days.  Deals are negotiated by customers and sent to UNFI.  Category S in the West are MCB only deals.",,,,,,,
MCB(yyyymmdd),MCB (Customer Specific),UNFI West Region,,"C-Customer Specific Price Promos:  Short Term Promotions, usually 30 - 45 days.  Deals are negotiated by customers and sent to UNFI.  Category S in the West are MCB only deals.",,,,,,,
MCB(yyyymmdd),MCB (Customer Specific),UNFI West Region,,"E-EDLP:  Long Term Deals, usually referred to as Every Day Low Price",,,,,,,
MCB(yyyymmdd),MCB (Customer Specific),UNFI West Region,,O-Opening Order/Store Discounts:  Free Fill programs providing free product to new stores.,,,,,,,
MCB(yyyymmdd),MCB (Customer Specific),UNFI West Region,,"S-Shelf Sales:  Short Term Promotions, usually 30 - 45 days.  Deals are negotiated by customers and sent to UNFI.  Category S in the West are MCB only deals.",,,,,,,
MCB(yyyymmdd),MCB (Customer Specific),UNFI West Region,,T-Turnover Orders,,,,,,,
MCB(yyyymmdd),MCB (Published Promo),UNFI West Region,,F-UNFI NC and HA Flyers:  UNFI promotions that require customers to sign up in order to receive the deals.,,,,,,,
MCB(yyyymmdd),MCB (Published Promo),UNFI West Region,,P-UNFI Monthly National Promos:  UNFI promotions made available to all customers.  Case Stack in the East are multi-tier discounts that increase as the number of cases purchased increases.,,,,,,,
MCB(yyyymmdd),MCB (Published Promo),UNFI West Region,,M-New Additions:  UNFI promotions made available to all customers.  Case Stack in the East are multi-tier discounts that increase as the number of cases purchased increases.,,,,,,,
MOC(customer invoice #),3rd Party Billing,UNFI West Region,Market of Choice,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
MS(customer invoice #)(Remit #),3rd Party Billing,UNFI West Region,Mollie Stone,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
MSCSN(invoice #)HCM,Select Nutrition Supplier Marketing,UNFI East Region,,Select Nutrition (SN) Monthly Specials Catalogue advertising program.,,,,,,,
MVPDME,ClearVue Allowance ,UNFI East Region,,"UNFI quarterly incentive, rebate and SCCV payments",,,,,,,
MVPDMW,ClearVue Allowance ,UNFI West Region,,"UNFI quarterly incentive, rebate and SCCV payments",,,,,,,
NCG(mmyy)(customer invoice #)(Remit #),3rd Party Billing,UNFI West Region,NCG,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
NCH(MMYY)(Remit)(Loc),Coupons for Pro Services,National,,UNFI Coupon invoices,,,,,,,
NORTHSTATE(customer invoice #),3rd Party Billing,UNFI West Region,North State,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
NSOAFB,New Store Opening,UNFI East Region,American Food Basket,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOAPP,New Store Opening,UNFI East Region,McCaffrey's Market,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOBF,New Store Opening,UNFI West Region,Bristol Farms,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOBGY,New Store Opening,UNFI East Region,Big Y,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOBLG,New Store Opening,UNFI East Region,Southeastern Grocers,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOBLZ,New Store Opening,UNFI East Region,Southeastern Grocers,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOBZR,New Store Opening,UNFI East Region,Food Bazaar,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSODMN,New Store Opening,UNFI East Region,Dave's Marketplace,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSODEM,New Store Opening,UNFI East Region,Demoula's/Market Basket,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOEFA,New Store Opening,UNFI East Region,EarthFare,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOFES,New Store Opening,UNFI East Region,Festival Foods / Skogen's / Hometown Grocers,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOFFL,New Store Opening,UNFI West Region,Food 4 Less,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOFLN,New Store Opening,UNFI East Region,Food Lion,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOFMG,New Store Opening,UNFI East Region,Southeastern Grocers,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOFMZ,New Store Opening,UNFI East Region,Southeastern Grocers,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOGEL,New Store Opening,UNFI West Region,Gelsons Markets,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOHAN,New Store Opening,UNFI East Region,Hannaford,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOHEN,New Store Opening,UNFI East Region,Heinen's,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOHRT,New Store Opening,UNFI East Region,Harris Teeter,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOIES,New Store Opening,UNFI East Region,IES - Ingles,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOINL,New Store Opening,UNFI East Region,IES - Ingles,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOJMB,New Store Opening,UNFI West Region,Jimbo Naturals,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOKOW,New Store Opening,UNFI East Region,Kowalski's,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOLAM,New Store Opening,UNFI West Region,Lazy Acres Market,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOLBK,New Store Opening,UNFI East Region,Lund's & Byerly,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOLMK,New Store Opening,UNFI West Region,Lucky's Market,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOLMT,New Store Opening,UNFI East Region,Lund's & Byerly,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOLNC,New Store Opening,UNFI East Region,Lund's & Byerly,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOLOM,New Store Opening,UNFI East Region,Lomar,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOLSP,New Store Opening,UNFI East Region,Lund's & Byerly,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOLUD,New Store Opening,UNFI East Region,Lund's & Byerly,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOLUN,New Store Opening,UNFI East Region,Lund's & Byerly,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOMC2,New Store Opening,UNFI East Region,Village Market Lenox,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOMCC,New Store Opening,UNFI East Region,McCaffrey's Market,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOMOC,New Store Opening,UNFI West Region,Market of Choice,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOMTR,New Store Opening,UNFI West Region,Mother's Market,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSONGE,New Store Opening,UNFI East Region,Niemann's,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSONUG,New Store Opening,UNFI West Region,Nugget Market,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOPBG,New Store Opening,UNFI East Region,Publix,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOPCC,New Store Opening,UNFI West Region,PCC,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSORED,New Store Opening,UNFI East Region,Redner's ,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOROC,New Store Opening,UNFI East Region,Roche Bros.,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOSCI,New Store Opening,UNFI East Region,Shnuck's Market,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOSGS,New Store Opening,UNFI East Region,Ahold - Giant of Landover,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOSTP,New Store Opening,UNFI East Region,Ahold  ,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOTWB,New Store Opening,UNFI East Region,Total Wine & More,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWBA,New Store Opening,UNFI East Region,Wakefern / ShopRite,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWDF,New Store Opening,UNFI East Region,Wakefern / ShopRite,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWDH,New Store Opening,UNFI East Region,Southeastern Grocers / Harvey's,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWDX,New Store Opening,UNFI East Region,Southeastern Grocers / Harvey's,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWDZ,New Store Opening,UNFI East Region,Southeastern Grocers / Harvey's,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWFH,New Store Opening,UNFI East Region,Southeastern Grocers / Harvey's,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWFZ,New Store Opening,UNFI East Region,Wakefern / ShopRite,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWGD,New Store Opening,UNFI East Region,Wegman's,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWGI,New Store Opening,UNFI East Region,Wegman's,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWGM,New Store Opening,UNFI East Region,Wegman's,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWHB,New Store Opening,UNFI East Region,Wegman's,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWKF,New Store Opening,UNFI East Region,Wakefern / ShopRite,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWKI,New Store Opening,UNFI East Region,Wakefern / ShopRite,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWKP,New Store Opening,UNFI East Region,Wakefern / ShopRite,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWKV,New Store Opening,UNFI East Region,Wakefern / ShopRite,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWSS,New Store Opening,UNFI East Region,Weis,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NUGGET(customer invoice #),3rd Party Billing,UNFI West Region,Nugget,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)NUGGET,3rd Party Billing,UNFI West Region,Nugget,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
OR(customer invoice #),3rd Party Billing,UNFI West Region,Organic Roots,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
OVPEX(mmyy)0(Remit#),Overpulls,UNFI East Region,UNFI Overpull Audit,Overpull:  Recover difference between off invoice discount extended to customers and  inventory purchase price,,,,,,,
PCC(mmyy)(customer invoice #),3rd Party Billing,UNFI West Region,PCC,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
PLCAUDIT(mmyy)0(Remit#),PLC,UNFI West Region,,Audit on Quality MCBs resulting from customer credits,,,,,,,
(Remit #)(mmddyy)FS,Floor Stocks,National,,"At times, suppliers will reduce their product costs.  On the effective date of this change, UNFI’s margin has the potential to be eroded as the company’s inventory is valued at a higher cost.  As such, inventory position needs to be assessed and the supplier worked with to recoup the difference from the higher to the new cost.",,,,,,,
PSM(mmmyy)0(Remit#),Sales - Meeting Participation,UNFI West Region,,Participation in Pacific Sales Meeting,,,,,,,
Q(Invoice #),Disposition,UNFI East Region,,"Donations, Quality and Return to Vendor respectively",,,,,,,
R(Invoice #),Disposition,UNFI East Region,,"Donations, Quality and Return to Vendor respectively",,,,,,,
RALEYS(customer invoice #),3rd Party Billing,UNFI West Region,Raleys,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
REC(mmyy)(UNFI Remit #) ,Recalls,National,,"Recall Fee - $250 fee/DC; $500 for additional DCs affected
Market Withdrawl Fee  $500 fee/DC affected + $2,500 for 0-100 Customers Affected and $5,000 for 101+ Customers Affected",,,,,,,
RECIDP(mmyy)(UNFI Remit #) ,Recalls,National,,Rocklin product recalls audit not previously billed,,,,,,,
RSC(mmyy)0(Remit #),Commissions,National,Retail Services,Deduction for Retail Service Commissions,,,,,,,
SF1(mmyy)(Remit #),3rd Party Billing,UNFI West Region,Super 1 Foods,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
SAS(invoice #),Post Audit ,UNFI East Region,,SAS Recovery - AP audit,,,,,,,
SASIF(invoice #),Post Audit Freight ,National,,SAS Recovery - covers cost of shorted product on UNFI sourced pickups,,,,,,,
SASW(invoice #),Post Audit ,UNFI East Region,,SAS Recovery - AP audit,,,,,,,
SBM(Month)(YY)0(Remit#),Sales - Meeting Participation,UNFI East Region,,Participation in Strategic Brand Sales Meeting,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,A – Arranged by Vendor - Long term deal approved by vendor                    ,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,C - Case Stack - Published deal requires minimum purchase,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,D - Demo  - Product that is pulled for demonstrations purposes usually by UNFI sales or approve by vendor,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,M - Miscellaneous ,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,N - SMOO - Super market opening order / new item allowance,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,O - Opening Order - Retail based open order program,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,P - Promos - Short term deal,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,S - Show Orders - UNFI trade show deals,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,T - Turnover Order - Turnover order with approval ,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,Z - Samples - UNFI Sales force samples to promote product a store location,,,,,,,
SECMQ(month)(yy)0(Remit#),MCB (Quality),UNFI East Region,,"Select Nutrition Quality Manufacturer Chargebacks generated from Claims reported, recalls, quality issues, shelf worn, etc.",,,,,,,
SHERMS(customer invoice #),3rd Party Billing,UNFI West Region,Sherms,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
TONYSFF(MMYY),3rd Party Billing,UNFI West Region,Tony's Finer Foods,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
SNGPSPLS(invoice #)QCM,Select Nutrition Spoils Gap,UNFI East Region,,Spoils Gap:  Gap between the spoils allowance given to Select Nutrition and actual spoils incurred in their warehouse.,,,,,,,
SO(mmddyy)0(Remit#),MCB (Customer Specific),UNFI East Region,,U- UNFI Event ,,,,,,,
UOI(mmyy)(Remit #),MCB,UNFI East Region,,Audit of monies owed to UNFI for promotional activity with our mutual customers that was above and beyond what was procured to support supplier's promotion. ,,,,,,,
URMMCB(mthyy)(Remit #),3rd Party Billing,UNFI West Region,URM,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice,,,,,,,
URMNIP(Invoice #)HCM,3rd Party Billing,UNFI West Region,URM New Item Placement,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice,,,,,,,
"URMP(mthyy)(Remit #)
URMP(mth)(Remit #)",3rd Party Billing,UNFI West Region,URM Proposals,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
URMR(customer invoice #),3rd Party Billing,UNFI West Region,URM Rosauers,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
URMSHP(Invoice #)HCM,3rd Party Billing,UNFI West Region,URM Shippers,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice,,,,,,,
URMTO(Invoice #)HCM,3rd Party Billing,UNFI West Region,URM Turnovers,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice,,,,,,,
URMTT(Invoice #)HCM,3rd Party Billing,UNFI West Region,URM Table Top,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice,,,,,,,
